# photo_manifest.tsv — permanent folder-name -> site-id mapping for the photo
# import pipeline (Tools/import_photos.sh). One row per photo folder.
# Format:  <folder-name><TAB><site-id>
# Lines starting with # and blank lines are ignored. Regenerate proposals with
# Tools/match_photo_folders.py; resolved rows below are the source of truth.
# site-id must exist in ByzantineTrail/Resources/catalog.json.
#
# folder	site-id
Acrocorinth	acrocorinth
Agios Nikolaos tis Stegis	agios-nikolaos-tis-stegis
Arch of Constantine	arch-of-constantine
Archangelos Michael Chapel	archangelos-michael-chapel
Archangelos Michail	archangelos-michail
Archbasilica of Saint John Lateran	archbasilica-of-saint-john-lateran
Basilica of Maxentius and Constantine	basilica-of-maxentius-and-constantine
Basilica of San Clemente	basilica-of-san-clemente
Castle of Mystras	castle-of-mystras
Church of the Holy Cross Pelendri	church-of-the-holy-cross
Colossus of Constantine	colossus-of-constantine
Column of Phocas	column-of-phocas
Lateran Baptistery	lateran-baptistery
Mausoleum of Constantina	mausoleum-of-constantina
Monemvasia Archaeological Collection	archaeological-collection
Monemvasia Elkomenos Christos	elkomenos-christos
Monemvasia Hagia Sophia	hagia-sophia-monemvasia-upper-town
Monemvasia Kastro Fortifications	kastro-fortifications
Mystras Agioi Theodoroi (Vrontochion)	agioi-theodoroi-vrontochion
Mystras Cathedral of Agios Demetrios	cathedral-of-agios-demetrios
Mystras Evangelistria	evangelistria
Mystras Hagia Sophia	hagia-sophia-mystras
Mystras Laskaris House	laskaris-house
Mystras Palace of the Despots	palace-of-the-despots
Mystras Pantanassa Monastery	pantanassa-monastery
Mystras Peribloptos Monastery	peribleptos-monastery
Panagia Katholiki (Odigitria)	church-of-panagia-katholiki-panagia-odigitria
Panagia Podithou	church-of-the-virgin-mary-of-podithou
Panagia tou Araka Laghoudera	panagia-tou-araka
Panagia tou Moutoulla	panagia-tou-moutoulla
Panagias Katholikis	panagias-katholikis
Saint Agatha of the Goths	basilica-of-saint-agatha-of-the-goths
San Cesario in Palatino	san-cesareo-in-palatio
San Giovanni a Porta Latina	san-giovanni-a-porta-latina
San Marco Evangelista	san-marco-evangelista
San Martino ai Monti	san-martino-ai-monti
San Saba	san-saba
San Silvestro in Capite	san-silvestro-in-capite
Sant'Anastasia	santanastasia-al-palatino
Santa Cecilia in Trastevere	santa-cecilia-in-trastevere
Santa Croce in Gerusalemme	santa-croce-in-gerusalemme
Santa Lucia in Selci	santa-lucia-in-selci
Santa Maria della Concezione in Campo Marzio	santa-maria-della-concezione-in-campo-marzio
Santa Maria in Ara Coeli	santa-maria-in-ara-coeli
Santa Maria in Cosmedin	santa-maria-in-cosmedin
Santa Maria in Domnica	santa-maria-in-domnica
Santa Maria in Tempulo	santa-maria-in-tempulo
Santa Maria in Trastevere	santa-maria-in-trastevere
Santa Maria Maggiore	santa-maria-maggiore
Santa Prassede	santa-prassede
Santa Prisca	santa-prisca
Santa Pudenziana	santa-pudenziana
Santo Stefano Rotondo	santo-stefano-rotondo
Ss Cosmas and Damian	basilica-of-saints-cosmas-and-damian
Ss Giovanni e Paolo	basilica-santi-giovanni-e-paolo
Ss Luca e Martina	chiesa-dei-santi-luca-e-martina-martiri
Ss Nereus and Achilleus	basilica-of-saints-nereus-and-achilleus
Ss Sergius and Bacchus Rome	church-of-saints-sergius-and-bacchus
St. Agnes Outside the Walls	st-agnes-outside-the-walls
St. George in Velabro	st-george-in-velabro
St. Paul Outside the Walls	st-paul-outside-the-walls
St. Peter's	st-peters-basilica
St. Theodore Orthodox Rome	orthodox-church-of-saint-theodore-at-the-palatine-hill
Timios Stavros Monastery	timios-stavros-monastery
Vatican Museums	vatican-museums
Monastery of Saint John Lampadistes	monastery-of-saint-john-lampadistes
Agia Kyriaki Chrysopolitissa	agia-kyriaki-chrysopolitissa
Agia Solomoni Catacomb	agia-solomoni-catacomb
Church of Agia Paraskevi	church-of-agia-paraskevi
Church of Panagia Theoskepasti	church-of-panagia-theoskepasti
Church of Saint Lazarus	church-of-saint-lazarus
Church of the Holy Cross of Agiasmati at Platanistasa	church-of-the-holy-cross-of-agiasmati-at-platanistasa
Holy Monastery of Panagia Machaira	holy-monastery-of-panagia-machaira
Holy Monastery of the Virgin Mary of Kykkos	holy-monastery-of-the-virgin-mary-of-kykkos
Metamorphosis tou Sotiros	metamorphosis-tou-sotiros
Monastery of the Virgin Mary Chrysokourdaliotissa	monastery-of-the-virgin-mary-chrysokourdaliotissa
Panagia Chryseleousa	panagia-chryseleousa
Panagia Crysopantanassa	panagia-crysopantanassa
Panagia Phorviotissa tis Asinou	panagia-phorviotissa-tis-asinou
Paphos Castle	paphos-castle
Stavrovouni Monastery	stavrovouni-monastery
Trooditissa Monastery	trooditissa-monastery
Anadolu Hisari	anadolu-hisari
Aqueduct of Valens	aqueduct-of-valens
Basilica Cistern	basilica-cistern
Bukeoleon Palace	bukeoleon-palace
Christ Pantepoptes	christ-pantepoptes
Christ Pantokrator	christ-pantokrator
Church of Ss. Dominic and Paul	church-of-ss-dominic-and-paul
Cistern of Aspar	cistern-of-aspar
Cistern of Philoxenos	cistern-of-philoxenos
Column of Constantine	column-of-constantine
Column of the Goths	column-of-the-goths
Galata Tower	galata-tower
Great Palace Peristyle	great-palace-peristyle
Gülhane Park Cistern	g-lhane-park-cistern
Hagia Eirene	hagia-eirene
Hagia Sophia	hagia-sophia
Holy Apostles	holy-apostles
Holy Savior in Chora	holy-savior-in-chora
Leander's Tower	leanders-tower
Monastery of Constantine Lips	monastery-of-constantine-lips
Palace of Antiochos	palace-of-antiochos
Palace of the Porphyrogennetos	palace-of-the-porphyrogennetos
Rumeli Hisari	rumeli-hisari
Ss. Sergius and Bacchus	ss-sergius-and-bacchus
St. John the Forerunner in Trullo	st-john-the-forerunner-in-trullo
St. Polyeuktos	st-polyeuktos
St. Theodosia	st-theodosia
The Hippodrome and Sphendone	the-hippodrome-and-sphendone
Theodosian Land Walls	theodosian-land-walls
Theotokos Pammakaristos	theotokos-pammakaristos
Yoros Castle	yoros-castle
Arch of Theodosius	arch-of-theodosius
Blachernai Palace	blachernai-palace
Church of St. George of Samatya	church-of-st-george-of-samatya
Cistern of Mocius	cistern-of-mocius
Column of Marcian	column-of-marcian
Derinkuyu Underground City	derinkuyu-underground-city
Forum of Theodosius	forum-of-theodosius
Galata Walls	galata-walls
Gastria Monastery	gastria-monastery
Göreme Open-Air Museum	g-reme-open-air-museum
Ihlara Valley Churches	ihlara-valley-churches
Kastellion Substructures	kastellion-substructures
Kontoskalion and Eleutherios Harbors	kontoskalion-and-eleutherios-harbors
Monastery Annex and Kasim Aga	monastery-annex-and-kasim-aga
Monastery of Manuel the Armenian	monastery-of-manuel-the-armenian
Monastery of the Studion	monastery-of-the-studion
Prison of Anemas	prison-of-anemas
Selime Monastery	selime-monastery
St. Andrew of Crete in Krisei	st-andrew-of-crete-in-krisei
St. Benoit	st-benoit
St. Mary of Zoodochos Pege	st-mary-of-zoodochos-pege
St. Mary of the Mongols	st-mary-of-the-mongols
St. Thekla of Blachernai	st-thekla-of-blachernai
The Golden Gate	the-golden-gate
The Marble Tower	the-marble-tower
The Myrelaion	the-myrelaion
Theotokos Kyriotissa	theotokos-kyriotissa
Aachen Cathedral	aachen-cathedral
Church of St. Donatus	church-of-st-donatus
Diocletian's Palace and Cathedral of St. Domnius	diocletians-palace-and-cathedral-of-st-domnius
Euphrasian Basilica	euphrasian-basilica
Milvian Bridge	milvian-bridge
Papal Basilica of Saint Lawrence outside the Walls	papal-basilica-of-saint-lawrence-outside-the-walls
San Gregorio Magno al Celio	san-gregorio-magno-al-celio
Santa Balbina	santa-balbina
Santa Maria Antiqua	santa-maria-antiqua
Santa Sabina all'Aventino	santa-sabina-allaventino
Acımusluk Street Cistern	ac-musluk-street-cistern
Asteriou Monastery of the Taxiarchs	asteriou-monastery-of-the-taxiarchs
Bachkovo Monastery	bachkovo-monastery
Basilica di San Pietro in Ciel d'Oro	basilica-di-san-pietro-in-ciel-doro
Basilica di San Severo in Classe	basilica-di-san-severo-in-classe
Butrint Baptistery	butrint-baptistery
Chapel of St. Mary Formosa	chapel-of-st-mary-formosa
Chiesa della Panaghia	chiesa-della-panaghia
Church of Panagia Kapnikarea	church-of-panagia-kapnikarea
Church of Saint Jovan the Theologian at Kaneo	church-of-saint-jovan-the-theologian-at-kaneo
Church of Saint Michael in Africisco	church-of-saint-michael-in-africisco
Cistern of Aetius	cistern-of-aetius
Fortress of Timgad	fortress-of-timgad
Hymettus	hymettus
Kaisariani Monastery	kaisariani-monastery
Old Port of Classe	old-port-of-classe
Pantokrator Cistern	pantokrator-cistern
Poganovo Monastery	poganovo-monastery
Saint Naum Monastery	saint-naum-monastery
Sant Climent de Taüll	sant-climent-de-ta-ll
Santa Maria de Taüll	santa-maria-de-ta-ll
St. Clement of Ohrid	st-clement-of-ohrid
Treskavec Monastery	treskavec-monastery
Trieste Cathedral	trieste-cathedral
